,Size,Mult,Sum,Inv,Save
0,5,3.814697265625e-06,1.931190490722656e-06,6.031990051269531e-06,8.232593536376953e-05
1,10,2.148151397705078e-05,4.553794860839844e-06,1.33514404296875e-05,0.00019903182983398436
2,15,6.568431854248047e-05,9.393692016601562e-06,0.00013136863708496094,0.00031511783599853517
3,20,0.00015101432800292968,1.571178436279297e-05,0.0007850408554077148,0.00040264129638671874
4,25,0.00026404857635498047,2.384185791015625e-05,0.0015317440032958985,0.000623774528503418
5,30,0.0004131555557250977,3.647804260253906e-05,0.002285337448120117,0.0012239694595336914
6,35,0.0005958795547485352,4.5228004455566404e-05,0.0032135963439941405,0.0008807897567749024
7,40,0.0008758544921875,6.153583526611329e-05,0.004379916191101074,0.0008286476135253906
8,45,0.0012471199035644532,7.37905502319336e-05,0.005679869651794433,0.0008359670639038086
9,50,0.0016741752624511719,9.338855743408203e-05,0.007217550277709961,0.0011379480361938476
10,55,0.0022112369537353516,0.00011236667633056641,0.008061742782592774,0.001195383071899414
11,60,0.0028964996337890623,0.00012984275817871094,0.009131836891174316,0.0012649774551391601
12,65,0.003761029243469238,0.0001543283462524414,0.010368728637695312,0.0014830827713012695
13,70,0.0047054290771484375,0.00017533302307128906,0.011588835716247558,0.0017037630081176759
14,75,0.005744576454162598,0.00020689964294433593,0.013092660903930664,0.0026458024978637694
15,80,0.006840038299560547,0.0002315044403076172,0.014426684379577637,0.00278775691986084
16,85,0.00842580795288086,0.0002604246139526367,0.015881729125976563,0.0025947093963623047
17,90,0.009913086891174316,0.00028853416442871095,0.017694473266601562,0.0027904748916625977
18,95,0.011757159233093261,0.000320887565612793,0.02021307945251465,0.0031104326248168946
19,100,0.013356447219848633,0.0003555059432983398,0.02220950126647949,0.003487682342529297
20,105,0.015288662910461426,0.0003940820693969727,0.024450111389160156,0.00524592399597168
21,110,0.017440128326416015,0.0004292726516723633,0.02679719924926758,0.004455041885375976
22,115,0.02030484676361084,0.00047252178192138674,0.029384827613830565,0.0045658588409423825
23,120,0.02257215976715088,0.0005133152008056641,0.03207278251647949,0.006405353546142578
24,125,0.025792407989501952,0.0005623817443847657,0.03479611873626709,0.0055212736129760746
25,130,0.02882070541381836,0.0006011962890625,0.0425992488861084,0.007234048843383789
26,135,0.03276944160461426,0.0006507396697998047,0.04571011066436768,0.006248331069946289
27,140,0.03581264019012451,0.0007407426834106446,0.04946513175964355,0.006691598892211914
28,145,0.04019598960876465,0.0007707118988037109,0.05347971916198731,0.007172536849975586
